hampered	65	"英[ˈhæmpəd]
美[ˈhæmpərd]
妨碍;阻止;阻碍;hamper的过去分词和过去式"
presently	65	"英[ˈprezntli]
美[ˈprezntli]
此刻;现在;眼下;表示马上就已发生了;表示即将发生"
permit	65	"英[pəˈmɪt , ˈpɜːmɪt]
美[pərˈmɪt , ˈpɜːrmɪt]
允许;准许;使有可能;许可证，特许证"
posing	65	"英[ˈpəʊzɪŋ]
美[ˈpoʊzɪŋ]
造成;引起;产生;提问;质询;摆好姿势;pose的现在分词"
preceding	65	"英[prɪˈsiːdɪŋ]
美[prɪˈsiːdɪŋ]
在…之前发生;先于;走在…前面;precede的现在分词"
bacterial	65	"英[bækˈtɪəriəl]
美[bækˈtɪriəl]
细菌的;细菌引起的"
cruelty	65	"英[ˈkruːəlti]
美[ˈkruːəlti]
残酷，残忍，残暴;残暴的行为;不公;虐待"
converted	65	"英[kənˈvɜːtɪd]
美[kənˈvɜːrtɪd]
转变，转换，转化;可转变为;可变换成;改变;皈依，归附;convert的过去分词和过去式"
organism	65	"英[ˈɔːɡənɪzəm]
美[ˈɔːrɡənɪzəm]
有机体;生物;微生物;有机组织;有机体系"
straightforward	65	"英[ˌstreɪtˈfɔːwəd]
美[ˌstreɪtˈfɔːrwərd]
简单的;易懂的;不复杂的;坦诚的;坦率的;率直的"
rendered	65	"英[ˈrendəd]
美[ˈrendərd]
使成为;使变得;使处于某状态;给予;提供;回报;递交;呈献;提交;render的过去分词和过去式"
doses	65	"英[ˈdəʊsɪz]
美[ˈdoʊsɪz]
给服药;dose的第三人称单数"
handed	65	"英[ˈhændɪd]
美[ˈhændɪd]
交;递;给;hand的过去分词和过去式"
applicable	65	"英[əˈplɪkəbl]
美[ˈæplɪkəbl]
适用;合适"
refusal	65	"英[rɪˈfjuːzl]
美[rɪˈfjuːzl]
拒绝;回绝"
embody	65	"英[ɪmˈbɒdi]
美[ɪmˈbɑːdi]
具体表现，体现，代表;包括;包含;收录"
transplant	65	"英[trænsˈplɑːnt , ˈtrænsplɑːnt]
美[trænsˈplænt , ˈtrænsplænt]
移植;移栽，移种，移植;使迁移;使移居;移植器官"
entails	65	"英[ɪnˈteɪlz]
美[ɪnˈteɪlz]
牵涉;需要;使必要;entail的第三人称单数"
lacking	65	"英[ˈlækɪŋ]
美[ˈlækɪŋ]
没有;匮乏;缺乏;不足;不在场;得不到;短缺;lack的现在分词"
reforming	65	"英[rɪˈfɔːmɪŋ]
美[rɪˈfɔːrmɪŋ]
改革;改进;改良;改正，改造;悔改;reform的现在分词"
aggravates	65	"英[ˈæɡrəveɪts]
美[ˈæɡrəveɪts]
使严重;使恶化;激怒，惹恼;aggravate的第三人称单数"
potentially	65	"英[pə'tenʃəli]
美[pə'tenʃəli]
潜在地"
ignores	65	"英[ɪɡˈnɔːz]
美[ɪɡˈnɔːrz]
忽视;对…不予理会;佯装未见;不予理睬;ignore的第三人称单数"
regrettably	65	"英[rɪˈɡretəbli]
美[rɪˈɡretəbli]
抱歉地"
grace	65	"英[ɡreɪs]
美[ɡreɪs]
优美;优雅;文雅;高雅;风度;体面;为增色;为锦上添花;装饰;使荣耀;使生辉;承蒙光临"
damaging	65	"英[ˈdæmɪdʒɪŋ]
美[ˈdæmɪdʒɪŋ]
造成破坏的;有害的;损害的;损害;伤害;毁坏;破坏;damage的现在分词"
keys	65	"英[kiːz]
美[kiːz]
钥匙;关键;要诀;键;用键盘输入;键入;用钥匙划坏;key的第三人称单数和复数"
imperative	65	"英[ɪmˈperətɪv]
美[ɪmˈperətɪv]
重要紧急的;迫切的;急需处理的;表示权威的;表示命令的;祈使的;重要紧急的事;必要的事;祈使语气;祈使语气动词"
proposal	65	"英[prəˈpəʊzl]
美[prəˈpoʊzl]
提议;建议;动议;求婚"
float	65	"英[fləʊt]
美[floʊt]
浮动;漂流;飘动;飘移;浮;漂浮;使浮动;使漂流;彩车;鱼漂;浮子;浮板"
observable	65	"英[əbˈzɜːvəbl]
美[əbˈzɜːrvəbl]
能看得到的;能察觉到的"
terrifying	65	"英[ˈterɪfaɪɪŋ]
美[ˈterɪfaɪɪŋ]
吓人的;令人害怕的;使恐惧;使十分害怕;使惊吓;terrify的现在分词"
philosophical	65	"英[ˌfɪləˈsɒfɪkl]
美[ˌfɪləˈsɑːfɪkl]
哲学的;达观的;处乱不惊的"
targeted	65	"英[ˈtɑːɡɪtɪd]
美[ˈtɑːrɡɪtɪd]
把…作为攻击目标;把…作为批评的对象;面向，把…对准;target的过去分词和过去式"
